Year,Make,Model,Condition,Price,Consumer_Rating,Consumer_Review_#,Exterior_Color,Drivetrain,Fuel_Type,Transmission,Engine,VIN,Stock_#,Mileage,Comfort_Rating,Interior_Design_Rating,Performance_Rating,Value_For_Money_Rating,Exterior_Styling_Rating,Reliability_Rating,State,Seller_Type,min_MPG,max_MPG,avg_MPG
2023,Honda,CR-V EX-L,New,38940,4.7,1,Radiant Red Metallic,fwd,Gasoline,automatic,1.5L I4 16V GDI DOHC Turbo,2HKRS3H75PH301736,Q10245,0,5,5,5,4,4,5,NC,Dealer,26.13043478,32.0326087,29.08152174
2023,Honda,Ridgeline RTL,New,43075,4.1,321,Obsidian Blue Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FPYK3F55PB008793,H30041,10,5,4.8,4.8,4.2,5,5,MD,Dealer,17.825,24.075,20.95
2023,Honda,Civic Si Base,New,39999,5,5648,Platinum White,fwd,Gasoline,manual,1.5L I4 16V GDI DOHC Turbo,2HGFE1E57PH471348,230302,11,4.7,4.8,4.7,4.8,4.8,4.9,FL,Dealer,27.07407407,37.07407407,32.07407407
2022,Honda,CR-V Hybrid Touring,New,38625,4.7,3094,Sonic Gray Pearl,awd,Hybrid,automatic,2.0L I4 16V MPFI DOHC Hybrid,5J6RT6H9XNL021653,X21653,11,4.6,4.9,4.5,4.6,4.8,4.7,FL,Dealer,40,35,37.5
2023,Honda,CR-V Hybrid Sport Touring,New,40240,5,5331,Radiant Red Metallic,awd,Hybrid,automatic,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H99PH801319,PH801319,10,5,3,4,4,5,5,NJ,Dealer,40,34,37
2023,Honda,Ridgeline RTL-E,New,49068,4.6,1480,Lunar Silver Metallic,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FPYK3F77PB012880,PB012880,5,5,4.8,4.8,4.2,5,5,MA,Dealer,18.10909091,24.21818182,21.16363636
2023,Honda,Pilot Touring,New,50240,5,1161,Sonic Gray Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI DOHC,5FNYG1H76PB001686,MH12198,5,4.7,4.6,4.5,4.5,4.6,4.7,MA,Dealer,18.25,24.85,21.55
2023,Honda,Odyssey EX-L,New,42250,4.9,879,Radiant Red Metallic II,fwd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNRL6H60PB024613,PB024613,8,5,5,4,4,4,5,CA,Dealer,18.93220339,27.80508475,23.36864407
2023,Honda,Civic Sport Touring,New,32500,4.9,79,Sonic Gray Pearl,fwd,Gasoline,manual,4 Cylinder Engine,19XFL1G87PE002896,41174-89,0,4.6,4.9,4.4,4.6,4.6,4.7,CA,Dealer,28,37,32.5
2023,Honda,Civic Sport,New,26940,4.9,79,Blue,fwd,Gasoline,manual,2.0L I4 16V GDI DOHC,19XFL2G81PE002107,130385X,200,4.6,4.8,4.7,4.6,4.8,4.7,CA,Dealer,29.35632184,36.75862069,33.05747126
2023,Honda,CR-V Hybrid Sport Touring,New,40300,4.4,23,Radiant Red Metallic,awd,Hybrid,automatic,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H95PH806100,30416,10,5,3,4,4,5,5,CA,Dealer,40,34,37
2022,Honda,Pilot Sport,New,40770,5,333,Platinum White Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF6H37NB100754,78724,5,5,5,5,5,5,5,NV,Dealer,19,26,22.5
2023,Honda,CR-V Hybrid Sport Touring,New,40240,4.7,5248,Platinum White Pearl,awd,Hybrid,automatic,2.0L I4 16V GDI DOHC Hybrid,7FARS6H95PE000275,PE000275,12,5,3,4,4,5,5,AZ,Dealer,40,34,37
2022,Honda,Passport Elite,Used,44587,3.2,72,Crystal Black Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF8H00NB005969,P12570,6481,5,5,4.9,5,4.9,5,ID,Dealer,19,24,21.5
2023,Honda,Odyssey EX-L,New,41300,4.6,175,Lunar Silver Metallic,fwd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNRL6H69PB032998,H1223025,7,5,5,4,4,4,5,OR,Dealer,18.93220339,27.80508475,23.36864407
2022,Honda,Pilot EX-L,New,41566,5,10,Platinum White Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF6H52NB087476,13020,85,5,5,5,5,5,5,WA,Dealer,19,26,22.5
2022,Honda,Pilot Special Edition,New,42988,4.7,790,Platinum White Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF6H20NB101526,220211,72,5,5,5,5,5,5,WA,Dealer,19,26,22.5
2022,Honda,Pilot Sport,New,40992.59545,3.9,144,Platinum White Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF6H36NB099306,223871,5,5,5,5,5,5,5,WA,Dealer,19,26,22.5
2023,Honda,Passport Elite,New,48250,3.9,144,Radiant Red Metallic,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF8H02PB004521,23006H,11,5,5,4.9,5,4.9,5,NE,Dealer,19,24,21.5
2023,Honda,CR-V Hybrid Sport,New,34150,4.8,2503,Platinum White Pearl,fwd,Hybrid,automatic,2.0L I4 16V GDI DOHC Hybrid,2HKRS5H50PH702296,H3702296,5,5,3,4,4,5,5,TX,Dealer,41.8,35.2,38.5
2022,Honda,Accord Hybrid Sport,New,32165,5,2599,Lunar Silver Metallic,fwd,Hybrid,automatic,2.0L I4 16V MPFI DOHC Hybrid,1HGCV3F25NA047441,75035,9,4.9,5,5,4.9,4.9,5,TX,Dealer,44,41,42.5
2022,Honda,Pilot Special Edition,Used,39000,4.6,1144,Crystal Black Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI SOHC,5FNYF6H2XNB038841,9038841,18999,5,5,5,5,5,5,ND,Dealer,19,26,22.5
2020,Honda,CR-V Hybrid Touring,Used,34244,4.7,665,Platinum White Pearl,awd,Hybrid,automatic,2.0L I4 16V MPFI DOHC Hybrid,7FART6H91LE023706,PJ174763A,20579,4.7,4.6,4.3,4.3,4.6,4.6,MO,Dealer,40,35,37.5
2023,Honda,Pilot TrailSport,New,52583,4.5,1627,Sky Blue Pearl,awd,Gasoline,automatic,3.5L V6 24V GDI DOHC,5FNYG1H64PB001838,PB001838,4,5,5,5,5,5,5,IA,Dealer,18.98181818,24.96363636,21.97272727
